name,city,state,asking_price,revenue,industry,url
"Turnkey Gourmet Charcuterie Business in Boca Raton","Palm Beach County","FL","$100,000","Not Disclosed","Restaurants and Food","https://www.bizbuysell.com/business-opportunity/turnkey-gourmet-charcuterie-business-in-boca-raton/2482821/"
"High-Traffic Fast Casual Mediterranean Restaurant","Palm Beach County","FL","$650,000","Not Disclosed","Restaurants and Food","https://www.bizbuysell.com/business-opportunity/high-traffic-fast-casual-mediterranean-restaurant/2422092/"
"Irish Pub & Real Estate Included","Sarasota County","FL","$898,000","Not Disclosed","Restaurants and Food","https://www.bizbuysell.com/business-opportunity/irish-pub-and-real-estate-included-a-rare-lifetime-opportunity/2424301/"
"Turnkey Modern Restaurant in New Oasis Hallandale Development","Hallandale","FL","$1,250,000","Not Disclosed","Restaurants and Food","https://www.bizbuysell.com/business-opportunity/turnkey-modern-restaurant-in-new-oasis-hallandale-development/2478700/"
"Iconic 40 Year Established Restaurant in South Cape","Cape Coral","FL","$650,000","Not Disclosed","Restaurants and Food","https://www.bizbuysell.com/business-opportunity/iconic-40-year-established-restaurant-for-sale-in-south-cape/2475900/"
"Established Cuban Restaurant | $3M Revenue | Full Liquor License","Sunny Isles Beach","FL","$2,000,000","$3,000,000","Restaurants and Food","https://www.bizbuysell.com/business-opportunity/established-cuban-restaurant-3m-revenue-full-liquor-license/2403796/"
"Italian Restaurant and Pizzeria","Melbourne","FL","$199,000","Not Disclosed","Restaurants and Food","https://www.bizbuysell.com/business-opportunity/italian-restaurant-and-pizzeria/2396675/"
"Oncology Medical Practice for Sale – $3.4M Revenue","Tallahassee","FL","$425,000","$3,400,000","Healthcare","https://www.bizbuysell.com/business-opportunity/oncology-medical-practice-for-sale-3-4m-revenue/2479952/"
"Very Successful ABA, TCM & Community Mental Health Center 30 Yrs","Miami","FL","$1,800,000","Not Disclosed","Healthcare","https://www.bizbuysell.com/business-opportunity/very-successful-aba-tcm-and-community-mental-health-center-cmhc-30-yrs/2348655/"
"Top Rated Med Spa – Absentee Owner","Fort Lauderdale","FL","$700,000","Not Disclosed","Healthcare","https://www.bizbuysell.com/business-opportunity/top-rated-med-spa-absentee-owner/2470227/"
"Turnkey Primary Care & Specialty Medical Practice – Fort Pierce","Fort Pierce","FL","$400,000","Not Disclosed","Healthcare","https://www.bizbuysell.com/business-opportunity/turnkey-primary-care-and-specialty-medical-practice-fort-pierce-fl/2455145/"
"Turnkey Home Care Business – Senior Care Services","Boynton Beach","FL","$258,000","Not Disclosed","Healthcare","https://www.bizbuysell.com/business-opportunity/turnkey-home-care-business-senior-care-services/2475341/"
"Extremely Profitable Sarasota-Based Mental Health Practice","Sarasota","FL","$450,000","Not Disclosed","Healthcare","https://www.bizbuysell.com/business-opportunity/extremely-profitable-sarasota-based-mental-health-practice-for-sale/2470834/"
"Established Junk Removal Company","Jupiter","FL","$250,000","Not Disclosed","Home Services","https://www.bizbuysell.com/business-opportunity/established-junk-removal-company/2431984/"
"Pinellas and Pasco County Turnkey Pool Route","Clearwater","FL","$697,020","$600,960","Home Services","https://www.bizbuysell.com/business-opportunity/pinellas-and-pasco-county-turnkey-pool-route/2460393/"
"Scalable Landscaping Platform | 50% Recurring Revenue | Tampa","Tampa","FL","$1,800,000","Not Disclosed","Home Services","https://www.bizbuysell.com/business-opportunity/scalable-landscaping-platform-50-recurring-revenue-tampa/2479308/"
"Elite Custom Closets (Design & Installation)","Gainesville","FL","$105,000","Not Disclosed","Home Services","https://www.bizbuysell.com/business-opportunity/elite-custom-closets-design-and-installation-ai-proof-and-lucrative/2475566/"
"Profitable Commercial HVAC Business","Miami Lakes","FL","$4,000,000","Not Disclosed","Home Services","https://www.bizbuysell.com/business-opportunity/profitable-commercial-hvac-business-residential-and-commercial/2474980/"
"Established Carpet Cleaning & Restoration Business","Port Saint Lucie","FL","$200,000","Not Disclosed","Home Services","https://www.bizbuysell.com/business-opportunity/established-carpet-cleaning-and-restoration-business-on-the-coast/2420232/"
"Established Full-Service Sign & Graphics Business","Duval County","FL","$1,165,000","Not Disclosed","Retail","https://www.bizbuysell.com/business-opportunity/established-full-service-sign-and-graphics-business/2460509/"
"Acquire Prime Miami Retail Smoke Shop Location","South Miami","FL","$1,195,000","Not Disclosed","Retail","https://www.bizbuysell.com/business-opportunity/acquire-prime-miami-retail-smoke-shop-location/2482238/"
"Retail Wine, Beer & Gift Shop in Downtown Naples","Naples","FL","$319,000","Not Disclosed","Retail","https://www.bizbuysell.com/business-opportunity/retail-wine-beer-and-gift-shop-in-high-traffic-downtown-naples-area/2369835/"
"Miami Luxury Tailoring & Alteration Business","Miami","FL","$1,200,000","Not Disclosed","Retail","https://www.bizbuysell.com/business-opportunity/miami-luxury-tailoring-and-alteration-business-eligible-for-e-2/2466357/"
"#1 Boutique in The Florida Keys","Islamorada","FL","$150,000","Not Disclosed","Retail","https://www.bizbuysell.com/business-opportunity/1-boutique-in-the-florida-keys/2112027/"
"Strong Jewelry Business with Solid Operation","Siesta Key","FL","$800,000","Not Disclosed","Retail","https://www.bizbuysell.com/business-opportunity/strong-jewelry-business-with-solid-operation/2446630/"
