name,city,state,asking_price,revenue,industry,url
"7-Eleven NNN San Antonio TX",San Antonio,TX,11383000,541831,gas station,https://www.netleaseworld.com/inquiry/?id=90642
"7-Eleven NNN La Plata MD",La Plata,MD,7706000,377594,gas station,https://www.netleaseworld.com/inquiry/?id=90042
"Wawa NNN Lewisburg PA",Lewisburg,PA,6603000,330150,gas station,https://www.netleaseworld.com/inquiry/?id=90610
"7-Eleven NNN Naples FL",Naples,FL,6400000,393600,gas station,https://www.netleaseworld.com/inquiry/?id=89737
"Wawa NNN Louisville KY",Louisville,KY,6300000,299880,gas station,https://www.netleaseworld.com/inquiry/?id=90568
"Wawa NNN Tavares FL",Tavares,FL,5770000,249841,gas station,https://www.netleaseworld.com/inquiry/?id=90227
"7-Eleven NNN Las Vegas NV",Las Vegas,NV,5412000,250034,gas station,https://www.netleaseworld.com/inquiry/?id=90158
"7-Eleven NNN Kissimmee FL",Kissimmee,FL,5371000,286274,gas station,https://www.netleaseworld.com/inquiry/?id=90304
"Gas Station NNN Hialeah Gardens FL",Hialeah Gardens,FL,5450000,484512,gas station,https://www.netleaseworld.com/nnn-gas-stations-for-sale/
"Gas Station NNN Las Vegas NV",Las Vegas,NV,9888000,83129,gas station,https://www.netleaseworld.com/nnn-gas-stations-for-sale/
"Gas Station Crexi NC 11.6M",Fayetteville,NC,11643000,0,gas station,https://www.crexi.com/properties/NC/Gas-Station
"Gas Station Crexi NC 8.7M",North Carolina,NC,8724000,0,gas station,https://www.crexi.com/properties/NC/Gas-Station
"Gas Station Crexi NC 6.5M",North Carolina,NC,6553000,0,gas station,https://www.crexi.com/properties/NC/Gas-Station
